text,aspect,polarity,lang
"Есть такие люди, которых стоит увидеть, — и уже счастлив! Анечка, рада нашей встрече! Приезжай по-чаще! Я тебя очень люблю и скучаю! 💋 💋 💋",general,pos,en
"Раньше слово ""ЛЮБЛЮ"" было, как платье от Коко Шанель. Теперь, как дешевая майка с вьетнамского рынка",general,neg,en
"Прости, но я хочу вредной еды. .....Так хочется гамбургер из Макдональдса…
Будет мучить изжога и неприятный запах изо рта ...Но ,сука,как же порой хочется изваляться в этой луже ...до поросячьего визга.....
Она всегда будет хотеть гамбургер.... Чертов гамбургер!!!",general,neg,en
сегодня нас уже будет двое),general,pos,en
"ну вот -флажок с американского перекрасили.ну а как все начиналось- а Абхазии я сам лично видел последствия, и с многими абхазами говорил, которые в 90х бежали, и которые там выживали.и как грузины - беженцев при погрузке на корабли у уничтожали.мой знакомый выжил например -только по тому что грузинский автоматчик был его учеником..... и жилые многоэтажки- все в пулевых и осколках",general,neg,en
Я вас блядь всех с ума сведу нахуй!,general,neg,en
"Так хочется ночью тебе позвонить и сказать, что не спится…
Услышать твой сонный разбуженный голос… и в нем раствориться…
Сказать «Мой родной, мне так грустно вдруг стало очень, 
И я позвонила сказать, что скучаю…» — ну так… между прочим… 

Что был, мол, тяжелый день… проблемы… другие заботы… 
Что на улице дождь… и не балуют солнцем прогнозы погоды… 
А вечером закуталась в плед и за комп… и с лимоном чаю… 
Листала страницы инета… но мысли к тебе все, любимый… скучаю…",general,neg,en
Артём Дорохов предложил сфотографировать содержимое своих сумок,general,neutral,en
"Федь, спать не собираешься?",general,neutral,en
"Ещё афиши, если кто не видел",general,neutral,en
ты станеш моей женой,general,neutral,en
"одного люблю. другой нравится. с третьим гуляю. ахуенная девочка,бля",general,neg,en
"я тоже))))
за то вчера было весело)))

погоним сегодня)))",general,pos,en
Маникюрчик Оличке!,general,neutral,en
а чего это ты в контакте сидишь?! Лопату в руки и бегом на крышу!!!!,general,neg,en
"Всегда буду ценить тех людей, которые 
в трудный момент скажут: ""Я с тобой!""",general,pos,en
"даааа,я научился ездить а лыжах)))",general,pos,en
во всех летних альбомах страны,general,neutral,en
"Рив Гош, или несколько слов о воровстве.",general,neg,en
припев цепляет),general,pos,en
Выдохся совсем! По ссылке жмакни:,general,neutral,en
Танцевальный дебют Софии состоялся. Медаль висит. Радости по самые уши))),general,pos,en
А за окном прекрасная весна..!,general,pos,en
еще к теме о безумии человеческом. они прекрасны)),general,pos,en
Моя радость!!!!),general,pos,en
"Продаю мёд натуральный цветочный (подсолнечник) в розницу по оптовой цене: 3 литра (4,5 кг) - 650 руб, 1 литр (1,5 кг) - 250 руб., 0,5 литра - 130 руб. Доставка по Краснодару.",general,neutral,en
Меня почему-то всегда притягивали молчаливые люди.,general,neutral,en
"господи, ну это идеально!!!",general,pos,en
"Любимому человеку прощают то, что другим не прощают, и не прощают то, что прощают другим!!!",general,neutral,en
Город-сад Гуэль,general,neutral,en
О! Кто-то новенький пришол! Здрасьти!))) Мы вам рады!))),general,pos,en
"И в будущем.....
*ругается матом* 
PS я всё ещё надеюсь, что это нелепая шутка :(",general,neg,en
УРААААААААААААААААААА БЛЯ))))),general,pos,en
Сегодня мой лучший друг купил квартиру. И планировка и качество на отлично!!! КССК.,general,pos,en
"Самый офигенный подарок на 14 февраля
Love is......",general,pos,en
• отправлено через ►  ◄,general,neutral,en
ты похож на молодого Дон Кихота,general,neutral,en
Скидка всего 420руб за набор,general,neutral,en
"Просто за считанные минуты можно разрушить крепкие отношения,всего лишь из-за пару не правильно подобранных слов......",general,neg,en
"хватит уже гулять ,Даха
давай уроки делай",general,neg,en
"Раймер сучка!! 
Не по катал меня сегодня!!! 
Я обиделась! :(",general,neg,en
красава братан,general,pos,en
cadillac sixteen concept!!! моя мечта станет реальностью всего за 2 миллиона долларов....,general,neg,en
"ахха,Бахирева ты поймёшь)))",general,pos,en
Ребята мы ведь можем по 4 часа в день трудиться. нас рабски используют.Платят медный грош или совсем забывают заплатить.,general,neg,en
"Андрей, один из МиниТестов показал следующий результат, смотри ниже. Много других тестов здесь - vk.com/minitest",general,neutral,en
"Вчерашнюю таблицу чемпионата распечатал и прибил на стене.... Кони первые, вы-вторые. Нижегородцы-третьи, Говно по руководством ""Валерабляидисюда"" на 16-м. Написал Путину письмо, попросил закончить сегодня чемпионат с целью подготовки к Лиге Чемпионов... Жду ответа.... БЕЛЫЙ!",general,neg,en
Вот вы вреееедныеее с Саньком!,general,neg,en
моя бесконечная любовь👼,general,pos,en
голосуйте за кращого!!,general,neutral,en
"Ты не бабник, нет - не льсти себе.
ты - курицалюб",general,neg,en
"Никому и никогда не позволю сказать хоть одно негативное слово в сторону моей сестры. Вы можете думать всё что захотите! Но оставляйте своё мнение при себе. Она мой самый близкий человек,она мой лучик света,она моя сестра. И мне всё равно,что вы о ней думаете. Пусть она не всегда поступает верно и вообще некоторые её поступки неадекватны, но для меня она есть и будет самой лучшей:**",general,pos,en
MOUNT SHOW – Что там у москалей? Или «Как хохлы парад смотрели»,general,neutral,en
моя прелесть!!!! Несси))),general,pos,en
Резо миксы делает,general,neutral,en
акробатим на пляже,general,neutral,en
На последгнем экзамене,general,neutral,en
"Я предпочитаю делать в своей жизни то, что я люблю. А не то, что модно, престижно или положено.",general,pos,en
"Зашла в ""Индийские специи"". Купила кило фиников, горох в васаби, имбирь в сахаре, чечевиц, ХАТА МИТУ и печеньки. Рот сгорел.",general,neutral,en
Отдыхаем 👑 ✌ 😍,general,pos,en
Варя ушла в поход!!!!,general,neutral,en
Ты очень похож на Джастина Бибера! А на кого похож я? -,general,neutral,en
эй бум бум шо молчишь?:),general,neutral,en
кто-нибудь помогите избавится от вредной привычки. оч прошу..,general,neg,en
"Остаться без друзей - самое горшее,после нищеты,несчастье (Даниэль Дефо )",general,neg,en
кому пофотографировать портерты на пленку?признавайтесь!,general,neutral,en
"Владик, я скучаааю 😩 :*
Приезжай и пойдем гулять!",general,pos,en
Перманентный макияж бровей. Теневая растушевка. Первое фото - Сразу после процедуры. Второе фото - через 2 недели после процедуры.,general,neutral,en
"Вопросов много, мало ответов... Ясно одно: слили ребят.",general,neg,en
ахахахахахахах))))),general,pos,en
"С огромным удовольствием посмотрел выпуск! Интересующимся этимологией, антропологией, лингвистикой-советую!!! Так же, лишний раз убедился, что картавые ученые и православные херстианцы-глупые, злобные самодуры) Ну конечно, не без юмора, сарказма, подколов))))))",general,pos,en
"Говорят, у людей с холодными руками теплое сердце.",general,neutral,en
о славянских девушках),general,neutral,en
Я сделаю это...,general,neutral,en
"Виктор, я подобрала тебе машину",general,neutral,en
"Друзья! Выручайте! Есть среди вас дизайнеры проектировщики жилых помещений???Срочно для разработки проекта детского сада нужен смелый альтруист, готовый помочь за символическое вознаграждение в сумме не выше 15 000 отечественных рублей😇",general,neutral,en
"Как же греют слова однокласника ""Да ладно , я тоже ни х*я не учил""=)",general,pos,en
Мой первенец,general,neutral,en
"Всероссийский Народный Сход Против Политики Властей состоится, скорее всего, не 3 декабря, а 2.",general,neutral,en
"если и они тебе не мелодичны, я уже и не знаю...",general,neg,en
"Я - девушка... 👸 нельзя меня Ругать, нельзя мне Bрать!!!
... Мeня надо любить, ❤целовать😘 и нежно-нeжно oбнимать.😋",general,pos,en
"Не жизнь, а не понятно что ><",general,neg,en
"И вот прошел он - слёт краеведов нашего города. Грязь, жара, колючки, бла-бла-бла.... Зато фоток- немерено :)",general,pos,en
Братан приехал,general,neutral,en
Го на великах кататься?,general,neutral,en
завтра самый ужасный день,general,neg,en
"У меня новая ракетка!
Супер Пинг-Понг!",general,pos,en
Сегодня встречал олимпийский огонь...,general,neutral,en
15 минут позора и все закончится,general,neg,en
• Отправлено через ► vk.com/Fotiko ◄,general,neutral,en
Добавляйте ее очень хорошая девушка...,general,neutral,en
куплю 3 оконих стекла,general,neutral,en
Ебать мне тебя сейчас жалко... ))),general,neg,en
Определение словарного запаса: vk.com/slovomer,general,neutral,en
я нашла парней для нашей подруги,general,neutral,en
почему мир так жесток!!!!?,general,neg,en
пьяная рожа,general,neg,en
"Слышь бродяга, еще раз приедешь на историческую родину и не позвонишь- насру под двери, чтоб ты уезжая вспомнил!",general,neg,en
Я на твиттере страницу завел. а в чем прикол? SvetozarR87 если что,general,neutral,en
ахаха))) ржу))),general,pos,en
хочу гууууляяять *_*,general,pos,en
"У настоящих друзей всегда появляются какие-то общие шутки, 
которые довольно сложно объяснить постороннему...",general,neutral,en
"Мне одной кажется, что математика это не моё???????🤔🙄😒😩😱💡📚❌❗️❕❗️➕➖➗✖️What????",general,neg,en
зёбрик точно как у тебя))),general,neutral,en
"Господа, у меня для вас плохие новости.",general,neg,en
"Люблю тебя , и это тайна , в душе моей , это сикрет, тебя спросить теперь желаю? меня ты любишь , илинет",general,pos,en
"блин, и все таки ПУНК(",general,neg,en
тебе понравится),general,neutral,en
"Черт,я вообще не делала д/з по русскому с 7сентября!!блин,мне еще 20стр. по биологии заполнять!( Я ВООБЩЕ ДЕЛАЮ УРОКИ???",general,neg,en
а сами даже машинку стиральную включить не умеют))),general,neg,en
"ооо,вот ещё,слушайте пожалуйсто",general,neutral,en
Баня....когда на работу выйдешь????,general,neutral,en
"так то!ахаха, а а а а, девочки, мальчики, оближешь пальчики)классные ребята)",general,pos,en
Грустный КПИшный ёжик 😞,general,neg,en
Ето был твой парень?^^,general,neutral,en
читай личку!!!,general,neutral,en
AAAAA!!! наконец-то!!ждуу с нетерпением!!!,general,pos,en
"Как же все таки приятно когда тебя любят, правда ведь????",general,pos,en
я на права сдал )))),general,pos,en
"Который день июль печально хмурится,
Пуская в ход холодные ветра.
Гуляет дождь по опустевшим улицам,
Стучит по плоским крышам до утра.

Нависло небо мрачное над городом,
От серости не скрыться под зонтом.
Сейчас бы солнца, вот бы было здорово!
А вместо этого опять грохочет гром…

Который день в июле пахнет осенью,
И настроение тому под стать.
Я чувствую себя случайной гостьею
В чертогах сентября… и не сбежать.…",general,neg,en
"вот на сайте питомника Vesma`s Karalius моя Лолка- почему-то там ее зовут Irma)))) и такая же фотка у И. Лозанской в альбоме ""Любуйтесь-Хлоя""- это не правильно так делать- чужих котят выдавать за своих",general,neg,en
Мне это кого-то определенно напоминает!)))),general,neutral,en
Хочу в Париж...,general,pos,en
Моя ёлочка достигла 2 уровня!,general,pos,en
Топ-10 самых странных фильмов.,general,neutral,en
"Умение прощать - свойство сильных. Слабые никогда не прощают.
© Махатма Ганди",general,neutral,en
Работай над собой - это важная цель в твоей жизни.☝💪,general,neutral,en
ЛЮБЛЮ ТЕБя,general,pos,en
моя малышка💋😉😊,general,pos,en
"Антон, я указала какой ты по ХАРАКТЕРУ, зайди по ссылке чтобы узнать =>",general,neutral,en
"Очень давно интересует один вопрос,но в лицо боюсь спросить:в глаз получу уж точно. Девушки с длинными наращенными(или нет) ногтями в 5 сантиметров,скажите,пожалуйста,только не обижайтесь,как вы ""подтираетесь""?
Сейчас меня закидают тапками,но жутко интересно!",general,neutral,en
кто страшнее безумный бог или бог безумия?,general,neutral,en
"к посту ниже - можете кидать свои треки в каменты, будем дополнять плейлист!",general,neutral,en
Я тоже всегда мордой вперед летал))) даже шрам до сих пор на бороде))) зато скорость и управление были превосходны))),general,pos,en
то что я отправлял было спамом полюбому =)))))))),general,neutral,en
"Вот блин...центр города, солнечное утро, клевое -сонное утро, купила по доброй традиции кофе...в ушах наушники...синие штаны,новенькие желтые кеды, вокруг цивильные люди...иду на любимую работу...Метро...шесть дверей, три на вход и три на выход...подхожу...и тут мой мозг отказывается верить...из двери куда все заходят,вылетает женщина преклонного возраста, сшибает меня, кофе выливается на меня...она пролетает, не оглянувшись..сцуко...коня на скаку остановит...есть женщины в русских селениях, похожие больше на баб...",general,neg,en
Ха!Теперь мне в старбаксе бесплатно Латте делают!=),general,pos,en
"Море, солнце,  пляж!",general,pos,en
Люблю тебя солнишкО*),general,pos,en
"драконов не словили, но вот вагоны с сетками ДНК догнать нам удалось",general,pos,en
"витя, ты тряпка и кидала ((((",general,neg,en
"Ахах.. это было незабываемое лето... Люблю тебя:* ♥ 
""Омега"" рулит...",general,pos,en
"подарите мне кто-нибудь пижаму, наконец! :)",general,pos,en
Александр Владимирович. Нашёл фото 2или3 года назад обещал вам )))),general,neutral,en
Завтра игра!!!!,general,neutral,en
Как-то так...,general,neutral,en
удалила ферму - это стало похоже на зависимость,general,neg,en
"Что у тебя опять все плохо, Влад? :)))))Ты по-моему каким-то депрессивным становишься. Эт на тебя так молодежная культура влияет?? :)))",general,neg,en
"Инженер-конструктор,инструменталист и технолог #AnyWalker #Андрей_Смирнов",general,neutral,en
"Чувак, ты же сейчас слушаешь Anthrax!
Тебе когда нибудь говорили что ты пиздатый парень?",general,pos,en
Прям про тебя )),general,neutral,en
Смауг - самовлюблённый напыщенный баран,general,neg,en
Бляя ну парни дают))) ахах)))),general,pos,en
я думал они уже вымерли..,general,neutral,en
"У задержанных за беспорядки в Москве изъято 16 травматических пистолетов, 208 ножей и еще 260 предметов для уличных боев, в том числе металлическая арматура, молотки, электрошокеры, кастеты, бейсбольные биты.",general,neutral,en
В нарядe))),general,neutral,en
Нужен напарник на постоянку),general,neutral,en
БелГУТ 2012 выпускной УПП,general,neutral,en
Юг Израиля переходит на военное положение,general,neutral,en
"Шнур, сука, я взрослый мужик я не могу ходить и напевать - на лабутенах нах и в охуительных штанах😂😂😂",general,pos,en
если понравитса отпешысь!!,general,neutral,en
БлондинкоОО,general,neutral,en
"Обидно, когда с людьми, которые раньше играли в твоей жизни огромную роль, перестаешь общаться так как раньше. Еще обиднее осознавать,что, в принципе, их это не особо волнует.",general,neg,en
"смотри чтобы с тобой такого не произошло,милый :3",general,pos,en
И вторая партия.,general,neutral,en
Вот так и живем.,general,neutral,en
Как это не будет добавки?🙀😼😸😹 Нюша меня веселит🐱🐱🐱 @ Академика Губкина,general,pos,en
"«Залечь на дно в Брюгге» (In Bruges, 2007)",general,neutral,en
Немножко позитива:DDD,general,pos,en
Весьма интересный взгляд неправда ли?Как вам?,general,neutral,en
"Вот этот бит стоит 4600, цени",general,neutral,en
Спокойная хорошая песенка))) Обожаю её))),general,pos,en
"МЫ ПОРОЙ САМИ ПОРАЖАЕМСЯ НАШЕЙ ПЛОДОВИТОСТИ. Справедливо посчитав, что Арт-Хаус как жанр наиболее целостно способен выразить наше видение композиции, следуя неизменным и священным для нас принципам DIY, мы рады представить вам новую работу ""повстанческой студии партизанской самодеятельности"" - клип на одну из наших старых песен.
ВСЮ БИОМАССУ - В БОЙ!!",general,neutral,en
"Закончился первый этап моего лечения, меня выписали со стационара. Напоследок уже другой врач сказал:
Может перелом сростется, а может и нет. Если нет, то через месяц мне вырвут нижний передний зуб и с шинами придется ходить еще месяц. Обнадеживающе и оптимистично, хуле. )",general,neg,en
Гипс(( месяц Без турника!((((,general,neg,en
клевое видео)аж душа порадовалась))надо футболку такую замутить типа:ОБНИМЕМСЯ?)),general,pos,en
"Знакомые появляются и исчезают, а лучшие друзья — это навсегда. Потому 
что даже тогда, когда ты не знаешь, куда идешь, они помогают осознать, 
что ты идешь туда не один.",general,pos,en
так завязывай с психоделиком )),general,neutral,en
воо...то точно сказано..!!))))))),general,pos,en
Да где ж там дно уже в этом болоте?,general,neg,en
"Второй вечер подряд со мной Гарри Поттер!:3
Oh, my God! I'm happy!! ^^",general,pos,en
Испанцы  в финале!,general,pos,en
"[id55782182|Наталия], стринги поверх колготок как вариант одеваются сверху.",general,neutral,en
Новый зал для школы танцев!,general,pos,en
Акрильчиком рубанул,general,neutral,en
Я уже так то скучаю....,general,neg,en
"Радует, что парни выходят на турник в это время и в такую погоду!!!",general,pos,en
Эта прогулка в памяти останется надолго 😉,general,pos,en
Юля и Ярослав.,general,neutral,en
"Внимание!Внимание!
Сбежал маньяк-зоофил по кличке Лютый!
Если кто увидит пусть вломит пизды!",general,neg,en
Кто помнит это...смайл:),general,neutral,en
обезьяна с усами(с),general,neutral,en
"Подруга - это та, которая всегда рассмешит 🙃
Подруга - это та, которая когда смеется то и ты смеешься или наоборот 👑💍
Подруга - это та, которая тебе всегда рада 👯 
Подруга - это та, которая подхватит твою мысль 🚺💭
Подруга - это та, которая звонит тебе 📱
Подруга - это та, которую я люблю 💖❣",general,pos,en
"Как по-английски ""я объелся"" ??))",general,neutral,en
"Кто знает, iq 132 это много или мало?",general,neutral,en
"А я думала,что ошибалась...((( ну простите меня за то что я такая наивная...((( мне очень жаль,я ведь верила...(((",general,neg,en
12-ть кг карасика!!))),general,pos,en
"старенькая песня, но тем не менее...=)",general,pos,en
Православие по македонски,general,neutral,en
Club Cash Back  Презентация!  Заработок без вложений  абсолютно для всех!!!,general,neutral,en
класное  видео!,general,pos,en
Группа Пикник! Новый альбом!,general,pos,en
"- спаммеры под благое дело ""возвращения стены"" впаривают софт для угона акков. Будьте осторожны. Не проебывайте свои пароли сами.",general,neg,en
тут образцы проц.актов по кпрф есть))),general,neutral,en
Боец потерян!,general,neg,en
"Аналоги
Размер39-45
Цена680 грн
Под заказ",general,neutral,en
"""Скажем так, мне нравится , когда у жизни большие сиськи. Но во мне не вызывает ни малейшего волнения так называемая кантовская сиська в себе, сколько бы молока в ней ни плескалось . И в этом мое отличие от бескорыстных идеалистов вроде Гайдара ...
 в гробу я видел любую кантовскую сиську в себе со всеми ее категорическими императивами . На рынке сисек нежность во мне вызывает только фейербаховская сиська для нас. Такое у меня видение ситуации."" (с)",general,neutral,en
"КТО СКОЛЬКО МОЖЕТ, КОМУ СКОЛЬКО НЕ ЖАЛКО, ДЕНИСУ В ПОДАРОК НА НОВЫЙ ГОД... НОМЕР КАРТЫ СКИНУ В ЛИЧКУ!!!СПАСИБО:)",general,neutral,en
с кем то просто строишь отношения а за кого просто замуж выходишь)))))))),general,neutral,en
"[id17077|Юрий], для того, чтобы корова мало ела и давала больше молока - её нужно меньше кормить и больше доить. По-моему этот тезис тоже подойдет для иллюстрации ситуации.",general,neutral,en
Жинтельмены !,general,neutral,en
"Послушай,если не слышал..",general,neutral,en
Подушки (печать с двух сторон)!,general,neutral,en
"155 грн., в наличии в Киеве",general,neutral,en
Сезон открыт.,general,neutral,en
Человек из песка,general,neutral,en
"Когда-нибудь я хочу встретиться с Робертом Паттинсоном и перед кучей 
кричащих Фанаток ""Сумерек"" закричать: ""Боже мой! Это Седрик Диггори!""",general,pos,en
"Друзья, кто не так давно делал дома ремонт , подскажите, пожалуйста, у какой фирмы можно заказать хорошую входную железную дверь? Желательно с деревянной обивкой (надеюсь, понятно описала).",general,neutral,en
"Не могу написать в  личку ,ты добавил меня в союзники у меня 15 молоточков если надо можешь попросить о помощи !",general,neutral,en
• Остальная часть здесь ► vk.com/Fotiko ◄,general,neutral,en
Шиманская не накрашена а детков свой))),general,neutral,en
Друзья ))),general,pos,en
"Слова, запрещённые на ТВ с 1 сентября",general,neutral,en
Научить кого то петь ?,general,neutral,en
Робот-пылесос,general,neutral,en
ничего на ум не приходит?)),general,neutral,en
"Ненавидите ли вы утренние пробежки так, как ненавижу их я?",general,neg,en
ничего не напоминает?,general,neutral,en
Приключения Мишеля и Тэда в России :)),general,neutral,en
"Господи, зачем все это творится? Зачем повсюду в мире искать врагов и их козни? зачем потом искать друзей, чтобы одолеть недругов? Зачем искать врагов среди этих друзей? А после, искать друзей среди врагов, чтобы одолеть вргов? Остались лишь одни враги и одни козни. Неужели нельзя уже жить? 
написал думскои дьяк Василий(?)",general,neg,en
общажные самцы,general,neutral,en
"Молодец, Холифилд!",general,pos,en
"Если человек не пьёт и не курит, неволей начинаешь задумываться, а не сука ли он.
А.П. Чехов 

?",general,neg,en
"Вчера нашла в почтовом ящике пустую упаковку из-под жвачки и использованный презерватив в упаковке. Могли бы хоть ""резинку"" не портить, гады.",general,neg,en
Шикарный видос,general,pos,en
Решил поплотнее заняться музыкой,general,neutral,en
В ОТРЫВ ДРУЗЬЯ,general,pos,en
97% взрослых не могут пройти этот тест по школьной программе,general,neutral,en
ретро-вечер),general,neutral,en
В среду пригласили в Кремль на встречу с дважды Героем Советского Союза космонавтом Алексеем Архиповичем Леоновым.,general,neutral,en
вот она красавица),general,pos,en
"Опаздываешь на работу?! Да не, бред) для всякой херни всегда есть время )))",general,pos,en
шикарное правило))),general,pos,en
Лабрадор просто мечта всей жизни,general,pos,en
С каким ударом курантов наступает Новый год?,general,neutral,en
Никаких кукол! Только хардкор!,general,neutral,en
"Никогда не думал, что будет так тяжело расставаться. Впереди ещё 8 месяцев..",general,neg,en
О пользе перепостов,general,neutral,en
а вот эта еще лучше,general,pos,en
ой! щекотно,general,neutral,en
Соскучилась(,general,neg,en
"К
Р
А
С
У
Н
Я",general,pos,en
"Солнышко мое,к сожалению лето уже закончилось...пора менять статус))))))))))",general,neg,en
#субботничег,general,neutral,en
Скучно как то! Бабу что ли резиновую распечатать?! Ее насосом можно накачать? Никто не знает?,general,neutral,en
"А вот и всеми нами любимый Илюшаа!
АХАХАХХА",general,pos,en
Уиии ))) начали получаться розочки!!! Всего раз 50 повторить и вуаля.,general,pos,en
Обычный солнечный денек в лесу!,general,pos,en
"Мечта женщины-быть женщиной Мечты🎋

праздничные приятности дня.
любимый красный 

#ЗинаШамоян #включениеженственности",general,pos,en
"И еще знаю, что ты любишь кареглазых 😍 😘 ❤",general,neutral,en
Минуточка добра,general,pos,en
"выходные прошли => пора мечтаний, планов, целей => самовольно втягиваюсь в рутину => мда.",general,neg,en
